owner,repo,createdAt
KeplerGO,pyke,2017-06-30T23:51:24Z
KeplerGO,pyke,2017-07-25T20:44:07Z
KeplerGO,pyke,2017-07-27T00:16:21Z
KeplerGO,pyke,2017-07-31T12:50:13Z
KeplerGO,pyke,2017-07-31T17:34:58Z
KeplerGO,pyke,2017-08-08T16:42:49Z
KeplerGO,pyke,2017-08-09T16:52:40Z
KeplerGO,pyke,2017-08-23T19:57:04Z
KeplerGO,pyke,2017-08-30T14:47:52Z
KeplerGO,pyke,2017-08-31T00:28:14Z
KeplerGO,pyke,2017-10-05T13:05:38Z
KeplerGO,pyke,2017-10-11T21:38:46Z
KeplerGO,pyke,2017-10-17T17:06:19Z
KeplerGO,pyke,2017-10-29T23:11:51Z
KeplerGO,pyke,2018-02-17T21:05:20Z
KeplerGO,pyke,2018-02-17T23:20:20Z
KeplerGO,pyke,2018-05-05T22:01:30Z
KeplerGO,pyke,2018-05-10T08:07:00Z
KeplerGO,pyke,2018-05-24T07:38:36Z
KeplerGO,pyke,2018-06-29T00:56:34Z
KeplerGO,pyke,2018-08-14T04:48:52Z
KeplerGO,pyke,2018-11-27T13:11:11Z
KeplerGO,pyke,2019-04-17T20:25:32Z
KeplerGO,k2flix,2015-07-27T06:53:35Z
KeplerGO,k2flix,2017-03-08T18:23:59Z
KeplerGO,k2flix,2017-03-17T12:53:22Z
KeplerGO,k2flix,2017-07-25T18:34:51Z
KeplerGO,k2flix,2018-12-13T13:20:43Z
KeplerGO,oktopus,2017-09-13T03:19:47Z
KeplerGO,oktopus,2017-09-30T16:27:33Z
KeplerGO,oktopus,2017-10-11T21:20:25Z
KeplerGO,oktopus,2018-08-04T15:52:25Z
KeplerGO,K2fov,2015-12-07T18:45:54Z
KeplerGO,K2fov,2015-12-08T16:43:16Z
KeplerGO,K2fov,2016-12-17T22:29:25Z
KeplerGO,K2fov,2016-12-21T03:55:43Z
KeplerGO,K2fov,2016-12-22T02:53:01Z
KeplerGO,K2fov,2017-05-21T15:48:08Z
KeplerGO,K2fov,2017-08-08T17:28:27Z
KeplerGO,K2fov,2017-10-14T00:11:21Z
KeplerGO,K2fov,2019-04-21T16:39:43Z
KeplerGO,lightkurve-paper,2018-02-02T21:48:31Z
KeplerGO,lightkurve-paper,2018-04-09T08:58:57Z
KeplerGO,kpub,2015-11-04T20:28:47Z
KeplerGO,kpub,2016-12-17T22:29:31Z
KeplerGO,kpub,2016-12-21T03:55:44Z
KeplerGO,kpub,2016-12-22T02:53:06Z
KeplerGO,k2-footprint-plots,2016-12-17T22:29:43Z
KeplerGO,k2-footprint-plots,2016-12-21T03:55:48Z
KeplerGO,k2-footprint-plots,2016-12-22T02:53:18Z
KeplerGO,k2-footprint-plots,2017-08-07T21:25:06Z
KeplerGO,kepler-dashboard,2017-03-16T22:42:28Z
KeplerGO,kepler-dashboard,2017-03-20T14:47:37Z
KeplerGO,kepler-dashboard,2018-06-13T02:49:39Z
nasa,Common-Metadata-Repository,2017-01-09T02:29:57Z
nasa,Common-Metadata-Repository,2017-01-26T15:42:50Z
nasa,Common-Metadata-Repository,2017-04-05T14:47:40Z
nasa,Common-Metadata-Repository,2017-04-05T19:00:04Z
nasa,Common-Metadata-Repository,2017-04-05T19:02:10Z
nasa,Common-Metadata-Repository,2017-04-06T13:18:50Z
nasa,Common-Metadata-Repository,2017-04-06T14:56:26Z
nasa,Common-Metadata-Repository,2017-04-06T15:28:40Z
nasa,Common-Metadata-Repository,2017-04-07T02:03:32Z
nasa,Common-Metadata-Repository,2017-04-07T14:36:05Z
nasa,Common-Metadata-Repository,2017-04-23T08:29:31Z
nasa,Common-Metadata-Repository,2017-05-01T15:40:05Z
nasa,Common-Metadata-Repository,2017-05-19T15:52:30Z
nasa,Common-Metadata-Repository,2017-05-20T22:34:04Z
nasa,Common-Metadata-Repository,2017-06-30T05:29:51Z
nasa,Common-Metadata-Repository,2017-08-03T17:33:23Z
nasa,Common-Metadata-Repository,2017-08-10T15:33:00Z
nasa,Common-Metadata-Repository,2017-08-30T18:33:35Z
nasa,Common-Metadata-Repository,2017-09-06T14:07:04Z
nasa,Common-Metadata-Repository,2017-09-29T16:52:02Z
nasa,Common-Metadata-Repository,2017-11-12T15:06:33Z
nasa,Common-Metadata-Repository,2017-11-20T22:51:30Z
nasa,Common-Metadata-Repository,2017-12-05T19:42:18Z
nasa,Common-Metadata-Repository,2018-01-02T19:44:35Z
nasa,Common-Metadata-Repository,2018-01-24T14:29:36Z
nasa,Common-Metadata-Repository,2018-05-03T20:29:01Z
nasa,Common-Metadata-Repository,2018-06-01T14:46:54Z
nasa,Common-Metadata-Repository,2018-06-06T00:02:29Z
